   0.000000e+00    0.000000e+00            -nan    1.000000e-02            -nan    1.000000e+00    1.000000e+00    0.000000e+00            -nan
   7.200000e+01    1.990847e-01    6.912662e-04    1.000000e-02    6.912662e-02    1.000000e+00    1.000000e+00    0.000000e+00    3.948843e-05
   7.300000e+01    2.001318e-01    6.853830e-04    1.000000e-02    6.853830e-02    1.000000e+00    1.000000e+00    0.000000e+00    3.117686e-03
   7.400000e+01    1.982214e-01    6.696667e-04    1.000000e-02    6.696667e-02    1.000000e+00    1.000000e+00    0.000000e+00    6.684643e-03
   7.500000e+01    1.991104e-01    6.637014e-04    1.000000e-02    6.637014e-02    1.000000e+00    1.000000e+00    0.000000e+00    1.952118e-03
   7.600000e+01    2.000329e-01    6.580029e-04    1.000000e-02    6.580029e-02    1.000000e+00    1.000000e+00    0.000000e+00    5.688912e-03
   7.700000e+01    2.005189e-01    6.510355e-04    1.000000e-02    6.510355e-02    1.000000e+00    1.000000e+00    0.000000e+00    1.874460e-02
   7.800000e+01    2.016728e-01    6.463870e-04    1.000000e-02    6.463870e-02    1.000000e+00    1.000000e+00    0.000000e+00    9.772278e-03
   7.900000e+01    2.014715e-01    6.375681e-04    1.000000e-02    6.375681e-02    1.000000e+00    1.000000e+00    0.000000e+00    1.197525e-03
   8.000000e+01    2.010913e-01    6.284103e-04    1.000000e-02    6.284103e-02    1.000000e+00    1.000000e+00    0.000000e+00   -1.483268e-03
   8.100000e+01    2.016137e-01    6.222645e-04    1.000000e-02    6.222645e-02    1.000000e+00    1.000000e+00    0.000000e+00   -1.179568e-02
   8.200000e+01    2.015085e-01    6.143553e-04    1.000000e-02    6.143553e-02    1.000000e+00    1.000000e+00    0.000000e+00    1.199802e-03
   8.300000e+01    2.020449e-01    6.085689e-04    1.000000e-02    6.085689e-02    1.000000e+00    1.000000e+00    0.000000e+00    9.220045e-03
   8.400000e+01    2.012805e-01    5.990491e-04    1.000000e-02    5.990491e-02    1.000000e+00    1.000000e+00    0.000000e+00    9.168894e-04
